name,category,smiles,num_atoms,num_bonds,molecular_weight,radius_of_gyration,asphericity,eccentricity,inertia_shape_factor,span_r,pmi1,pmi2,conformer_energy,vdw_energy,electrostatic_energy,torsion_strain,angle_strain,optimization_delta,dipole_moment,total_charge,max_partial_charge,min_partial_charge,charge_span,electrostatic_potential,sasa,molecular_volume,globularity,surface_to_volume_ratio,num_atoms_with_h,num_heavy_atoms
aspirin,analgesic,CC(=O)OC1=CC=CC=C1C(=O)O,21,21,180.16,3.104,96.313,0.643,0.357,8.22,71.056,134.505,-210.0,-10.5,-2.1,0.1,1.05,21.0,0.0,0.181,0.094,-0.03,0.124,0.0,630.0,315.0,0.355,2.0,21,13
ibuprofen,analgesic,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,33,33,206.29,3.657,159.694,0.78,0.22,10.887,88.144,393.694,-330.0,-16.5,-3.3,0.1,1.65,33.0,0.0,-0.287,0.094,-0.03,0.124,0.0,990.0,495.0,0.306,2.0,33,15
acetaminophen,analgesic,CC(=O)NC1=CC=C(C=C1)O,20,20,151.17,3.07,88.996,0.811,0.189,9.052,34.962,157.071,-200.0,-10.0,-2.0,0.1,1.0,20.0,0.003,0.012,0.094,-0.03,0.124,0.0,600.0,300.0,0.361,2.0,20,11
naproxen,analgesic,COC1=CC2=CC=C(C=C2C=C1)C(C)C(=O)O,31,32,230.26,3.897,190.448,0.814,0.186,11.769,82.098,418.541,-310.0,-16.0,-3.1,0.2,1.55,31.0,0.015,-0.068,0.094,-0.03,0.124,0.001,930.0,465.0,0.312,2.0,31,17
diclofenac,analgesic,OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,30,31,296.15,3.519,136.747,0.62,0.38,9.832,128.887,275.413,-300.0,-14.5,-3.0,0.0,1.5,30.0,0.009,-0.018,0.094,-0.03,0.124,0.001,900.0,450.0,0.316,2.0,30,19
ketoprofen,analgesic,CC(C(=O)O)c1cccc(c1)C(=O)c1ccccc1,33,34,254.29,3.604,143.326,0.591,0.409,9.564,156.154,319.853,-330.0,-17.0,-3.3,0.2,1.65,33.0,0.0,-0.058,0.094,-0.03,0.124,0.0,990.0,495.0,0.306,2.0,33,19
caffeine,stimulant,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,24,25,194.19,3.015,101.625,0.565,0.435,7.6,92.787,130.272,-240.0,-12.5,-2.4,0.2,1.2,24.0,0.0,0.144,0.094,-0.03,0.124,0.0,720.0,360.0,0.34,2.0,24,14
theobromine,stimulant,CN1C=NC2=C1C(=O)NC(=O)N2C,21,22,180.17,2.83,79.126,0.677,0.323,7.566,53.277,118.169,-210.0,-11.0,-2.1,0.2,1.05,21.0,0.0,0.199,0.094,-0.03,0.124,0.0,630.0,315.0,0.355,2.0,21,13
theophylline,stimulant,CN1C2=C(C(=O)N(C1=O)C)NC=N2,21,22,180.17,2.807,77.762,0.554,0.446,7.583,72.235,96.505,-210.0,-11.0,-2.1,0.2,1.05,21.0,0.0,0.199,0.094,-0.03,0.124,0.0,630.0,315.0,0.355,2.0,21,13
nicotine,stimulant,CN1CCCC1C2=CN=CC=C2,26,27,162.24,2.851,73.383,0.659,0.341,8.297,64.693,168.067,-260.0,-13.5,-2.6,0.2,1.3,26.0,0.0,-0.262,0.054,-0.03,0.084,0.0,780.0,390.0,0.331,2.0,26,12
